,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,15,10,16,5,2,0.2447318136692047,0.32882368564605713
1,7,15,7,16,5,2,0.2430473268032074,0.32880520820617676
2,7,15,5,16,5,2,0.23209811747074127,0.32902786135673523
3,7,15,2,16,5,2,0.24980637431144714,0.33247801661491394
4,6,15,10,16,5,2,0.2829505503177643,0.3567167818546295
5,6,15,7,16,5,2,0.30092853307724,0.3681267201900482
6,6,15,5,16,5,2,0.25098317861557007,0.3323855400085449
7,6,15,2,16,5,2,0.31768569350242615,0.3876763880252838
8,5,15,10,16,5,2,0.25087904930114746,0.3277309536933899
9,5,15,7,16,5,2,0.2528914213180542,0.323986291885376
10,5,15,5,16,5,2,0.2556365728378296,0.32930389046669006
11,5,15,2,16,5,2,0.2887553870677948,0.35600829124450684
12,7,20,10,16,5,2,0.2820080518722534,0.3533906936645508
13,7,20,7,16,5,2,0.25905469059944153,0.3613637387752533
14,7,20,5,16,5,2,0.2642946243286133,0.33918654918670654
15,7,20,2,16,5,2,0.2523413598537445,0.33280500769615173
16,6,20,10,16,5,2,0.23925848305225372,0.32627931237220764
17,6,20,7,16,5,2,0.23993033170700073,0.3299649655818939
18,6,20,5,16,5,2,0.2428683191537857,0.33081310987472534
19,6,20,2,16,5,2,0.3271070420742035,0.39745020866394043
20,5,20,10,16,5,2,0.25002768635749817,0.32955852150917053
21,5,20,7,16,5,2,0.2515425384044647,0.3216417729854584
22,5,20,5,16,5,2,0.23451776802539825,0.31862661242485046
23,5,20,2,16,5,2,0.2617996633052826,0.33397969603538513
24,7,30,10,16,5,2,0.24771243333816528,0.3358847200870514
25,7,30,7,16,5,2,0.25669488310813904,0.3372310698032379
26,7,30,5,16,5,2,0.24343198537826538,0.33321046829223633
27,7,30,2,16,5,2,0.28230780363082886,0.35228776931762695
28,6,30,10,16,5,2,0.23804236948490143,0.3244398534297943
29,6,30,7,16,5,2,0.2524071931838989,0.33104977011680603
30,6,30,5,16,5,2,0.2388770580291748,0.32871341705322266
31,6,30,2,16,5,2,0.2443511039018631,0.3259035646915436
32,5,30,10,16,5,2,0.24718448519706726,0.32549330592155457
33,5,30,7,16,5,2,0.22975017130374908,0.3211503326892853
34,5,30,5,16,5,2,0.2341557890176773,0.32170984148979187
35,5,30,2,16,5,2,0.3002050518989563,0.3718165159225464
36,7,40,10,16,5,2,0.2612709105014801,0.33904433250427246
37,7,40,7,16,5,2,0.23808811604976654,0.33572664856910706
38,7,40,5,16,5,2,0.23796623945236206,0.32425758242607117
39,7,40,2,16,5,2,0.2627404034137726,0.34165969491004944
40,6,40,10,16,5,2,0.26896288990974426,0.3403642475605011
41,6,40,7,16,5,2,0.27090275287628174,0.3412887752056122
42,6,40,5,16,5,2,0.23575758934020996,0.32326969504356384
43,6,40,2,16,5,2,0.27497684955596924,0.34389829635620117
44,5,40,10,16,5,2,0.2474454641342163,0.3235967457294464
45,5,40,7,16,5,2,0.24728292226791382,0.3225308954715729
46,5,40,5,16,5,2,0.2442217916250229,0.3196697533130646
47,5,40,2,16,5,2,0.2466863989830017,0.3182632625102997
48,7,50,10,16,5,2,0.240838885307312,0.3258357048034668
49,7,50,7,16,5,2,0.25019213557243347,0.3299528658390045
50,7,50,5,16,5,2,0.2723342776298523,0.3465546667575836
51,7,50,2,16,5,2,0.3173295557498932,0.39218512177467346
52,6,50,10,16,5,2,0.24069485068321228,0.32402732968330383
53,6,50,7,16,5,2,0.2603849172592163,0.33248594403266907
54,6,50,5,16,5,2,0.23410730063915253,0.3220607340335846
55,6,50,2,16,5,2,0.24343423545360565,0.3245409429073334
56,5,50,10,16,5,2,0.24099348485469818,0.31890881061553955
57,5,50,7,16,5,2,0.2328244149684906,0.3172398507595062
58,5,50,5,16,5,2,0.23648324608802795,0.3182269334793091
59,5,50,2,16,5,2,0.27376312017440796,0.34413179755210876
